item_no,type,x_labels,y_min_limit,y_max_limit,min,max,trend,title,x_title,y_title,intro,question,instr,correct_ans,direc,plot_path
1,A,"Mar, Apr, May, Jun, Jul, Aug, Sep",0,50,0,27,0,Monthly Average Rainfall in Riyadh,Months,Rainfall (mm),The line graph shows the change in annual rainfall in Riyadh across the months.,How does annual rainfall amount change from March to September?,"Please IGNORE the graph and the question, and select ""Increases"".",1,,Plots/plot_1_A.png
2,A,"1, 2, 3, 4, 5, 6, 7",0,5,2,4,0,Average Grade Across Academic Terms,Terms,Grade (out of 5),The line graph shows the change in average grade for a student over 7 academic terms.,How does the average grade change from term 1 to term 7?,"Please IGNORE the graph and the question, and select ""Increases"".",1,,Plots/plot_2_A.png
3,A,"2016, 2017, 2018, 2019, 2020, 2021, 2022",0,20,1.5,19,1,Global Electric Car Sales,Years,Cars Sold (Millions),The line graph shows the change in global electric car sales from 2016 to 2022.,How do global electric car sales change from 2016 to 2022?,"Please IGNORE the graph and the question, and select ""Decreases"".",2,,Plots/plot_3_A.png
4,A,"Ex1, Ex2, Ex3, Ex4, Ex5, Ex6, Final",0,100,60,100,0,Student Grades Across Multiple Exams,Exam,Grade (out of 100),The line graph shows the change in student grades across multiple exams.,How does the grade change from exam 1 to final exam?,"Please IGNORE the graph and the question, and select ""Increases"".",1,,Plots/plot_4_A.png
5,A,"Mar, Apr, May, Jun, Jul, Aug, Sep",0,100,80,100,0,Employee Attendance Rate in a Company,Months,Attendance Rate (%),The line graph shows the change in employee attendance rate within a company.,How does attendance rate change from March to September?,"Please IGNORE the graph and the question, and select ""Increases"".",1,,Plots/plot_5_A.png
6,A,"Jan, Feb, Mar, Apr, May, Jun, Jul",0,100,25,100,1,Workout Completion Rate Over Several Months,Months,Completion Rate (%),The line graph shows the change in workout completion rate over 7 months.,How does workout completion rate change from January to July?,"Please IGNORE the graph and the question, and select ""Decreases"".",2,,Plots/plot_6_A.png
7,A,"2010, 2012, 2014, 2016, 2018, 2020, 2022",0,150,79,150,1,Global Poultry Meat Production,Years,Production (million tonnes),The line graph shows the change in global poultry meat production in tonnes from 2010 to 2022.,How does global poultry meat production change from 2010 to 2022?,"Please IGNORE the graph and the question, and select ""Decreases"".",2,,Plots/plot_7_A.png
8,A,"1, 2, 3, 4, 5, 6, 7",0,500,100,450,1,Weekly Sales of New Book Releases,Weeks,Sales (Books),The line graph shows the change in weekly sales of new book releases for a bookstore over 7 weeks.,How do weekly sales of new book releases change from week 1 to week 7?,"Please IGNORE the graph and the question, and select ""Decreases"".",2,,Plots/plot_8_A.png
9,E,"11AM, 1PM, 3 PM, 5PM, 7PM, 9PM, 11PM",0,40,0,35,0,Wind Speed Changes Over 12 Hours,Time,Wind Speed (km/h),The line graph shows the change in wind speed over a 12-hour period.,How does the wind speed change from 11 AM to 11 PM?,Please read the question below and select the correct answer based on the illustrated graph.,2,R,Plots/plot_9_R_E.png
9,E,"11AM, 1PM, 3 PM, 5PM, 7PM, 9PM, 11PM",0,40,0,35,0,Wind Speed Changes Over 12 Hours,Time,Wind Speed (km/h),The line graph shows the change in wind speed over a 12-hour period.,How does the wind speed change from 11 AM to 11 PM?,Please read the question below and select the correct answer based on the illustrated graph.,2,L,Plots/plot_9_L_E.png
